Static_Library_Name,Item_Category,Number_of_Issues,Number_of_Renewals,Total,Year
Antrim Library,Adult Fiction,14717,5224,19941,2021
Antrim Library,Adult Fiction Large Print,812,251,1063,2021
Antrim Library,Adult Fiction Spoken Word,553,355,908,2021
Antrim Library,Adult Non-fiction,3888,2408,6296,2021
Antrim Library,Adult Non-fiction Large Print,7,2,9,2021
Antrim Library,Adult Non-fiction Spoken Word,31,17,48,2021
Antrim Library,Adult Reference,3,4,7,2021
Antrim Library,Chatterbooks,4,4,8,2021
Antrim Library,Curriculum Support Collection,58,21,79,2021
Antrim Library,Junior Fiction,23472,5938,29410,2021
Antrim Library,Junior Fiction Large Print,18,12,30,2021
Antrim Library,Junior Fiction Spoken Word,68,13,81,2021
Antrim Library,Junior Language Pack,37,23,60,2021
Antrim Library,Junior Non-fiction,3258,1143,4401,2021
Antrim Library,Junior Non-fiction Spoken Word,7,2,9,2021
Antrim Library,Junior Reference,1,,1,2021
Antrim Library,Language Course ,5,1,6,2021
Antrim Library,Reading Development,12,14,26,2021
Antrim Library,Reading Group,95,58,153,2021
Antrim Library,Teenage Fiction,455,152,607,2021
Antrim Library,Teenage Non-fiction,38,10,48,2021
Ardoyne Library,Adult Fiction,3921,1522,5443,2021
Ardoyne Library,Adult Fiction Large Print,301,62,363,2021
Ardoyne Library,Adult Fiction Spoken Word,138,68,206,2021
Ardoyne Library,Adult Non-fiction,909,1036,1945,2021
Ardoyne Library,Adult Non-fiction Large Print,8,3,11,2021
Ardoyne Library,Adult Non-fiction Spoken Word,1,1,2,2021
Ardoyne Library,Adult Reference,3,6,9,2021
Ardoyne Library,Curriculum Support Collection,9,3,12,2021
Ardoyne Library,Junior Fiction,6826,1683,8509,2021
Ardoyne Library,Junior Fiction Large Print,1,1,2,2021
Ardoyne Library,Junior Fiction Spoken Word,5,4,9,2021
Ardoyne Library,Junior Language Pack,,4,4,2021
Ardoyne Library,Junior Non-fiction,596,207,803,2021
Ardoyne Library,Junior Non-fiction Large Print,1,,1,2021
Ardoyne Library,Junior Non-fiction Spoken Word,1,,1,2021
Ardoyne Library,Music CD,6,1,7,2021
Ardoyne Library,Reading Development,27,9,36,2021
Ardoyne Library,Reference Non-borrowable,5,1,6,2021
Ardoyne Library,Teenage Fiction,39,47,86,2021
Ardoyne Library,Teenage Non-fiction,16,15,31,2021
Armagh Irish and Local Studies Library,Adult Fiction,9,18,27,2021
Armagh Irish and Local Studies Library,Adult Non-fiction,15,23,38,2021
Armagh Irish and Local Studies Library,Junior Fiction,,7,7,2021
Armagh Irish and Local Studies Library,Junior Language Pack,,1,1,2021
Armagh Irish and Local Studies Library,Junior Non-fiction,,1,1,2021
Armagh Irish and Local Studies Library,Reading Group,,1,1,2021
Armagh Irish and Local Studies Library,Reference Non-borrowable,4,,4,2021
Armagh Library,Adult Fiction,12596,6580,19176,2021
Armagh Library,Adult Fiction Large Print,832,342,1174,2021
Armagh Library,Adult Fiction Spoken Word,466,314,780,2021
Armagh Library,Adult Non-fiction,2567,2607,5174,2021
Armagh Library,Adult Non-fiction Large Print,37,4,41,2021
Armagh Library,Adult Non-fiction Spoken Word,23,45,68,2021
Armagh Library,Adult Reference,1,,1,2021
Armagh Library,Chatterbooks,,4,4,2021
Armagh Library,Curriculum Support Collection,72,134,206,2021
Armagh Library,DVD U,1,,1,2021
Armagh Library,Junior Fiction,27166,7270,34436,2021
Armagh Library,Junior Fiction Large Print,3,3,6,2021
Armagh Library,Junior Fiction Spoken Word,68,33,101,2021
Armagh Library,Junior Language Pack,21,27,48,2021
Armagh Library,Junior Non-fiction,3236,1139,4375,2021
Armagh Library,Junior Non-fiction Spoken Word,7,3,10,2021
Armagh Library,Language Course ,1,,1,2021
Armagh Library,Music CD,35,6,41,2021
Armagh Library,Reading Development,4,3,7,2021
Armagh Library,Reading Group,271,105,376,2021
Armagh Library,Reference Non-borrowable,1,,1,2021
Armagh Library,Teenage Fiction,305,219,524,2021
Armagh Library,Teenage Non-fiction,38,25,63,2021
Armagh Library,Uncategorised,,2,2,2021
Ballycastle Library,Adult Fiction,6281,3035,9316,2021
Ballycastle Library,Adult Fiction Large Print,556,169,725,2021
Ballycastle Library,Adult Fiction Spoken Word,215,176,391,2021
Ballycastle Library,Adult Non-fiction,2367,1858,4225,2021
Ballycastle Library,Adult Non-fiction Large Print,23,6,29,2021
Ballycastle Library,Adult Non-fiction Spoken Word,9,5,14,2021
Ballycastle Library,Adult Reference,25,73,98,2021
Ballycastle Library,Chatterbooks,,1,1,2021
Ballycastle Library,Curriculum Support Collection,35,55,90,2021
Ballycastle Library,Junior Fiction,13203,3370,16573,2021
Ballycastle Library,Junior Fiction Large Print,2,1,3,2021
Ballycastle Library,Junior Fiction Spoken Word,17,10,27,2021
Ballycastle Library,Junior Language Pack,23,41,64,2021
Ballycastle Library,Junior Non-fiction,1708,603,2311,2021
Ballycastle Library,Junior Non-fiction Spoken Word,3,,3,2021
Ballycastle Library,Music CD,1,,1,2021
Ballycastle Library,Reading Development,21,16,37,2021
Ballycastle Library,Reading Group,18,6,24,2021
Ballycastle Library,Reference Non-borrowable,14,2,16,2021
Ballycastle Library,Teenage Fiction,192,82,274,2021
Ballycastle Library,Teenage Non-fiction,31,25,56,2021
Ballycastle Library,Uncategorised,,2,2,2021
Ballyclare Library,Adult Fiction,7809,3262,11071,2021
Ballyclare Library,Adult Fiction Large Print,634,133,767,2021
Ballyclare Library,Adult Fiction Spoken Word,363,240,603,2021
Ballyclare Library,Adult Non-fiction,1678,1552,3230,2021
Ballyclare Library,Adult Non-fiction Large Print,4,1,5,2021
Ballyclare Library,Adult Non-fiction Spoken Word,4,3,7,2021
Ballyclare Library,Adult Reference,3,,3,2021
Ballyclare Library,Chatterbooks,1,,1,2021
Ballyclare Library,Curriculum Support Collection,31,32,63,2021
Ballyclare Library,Junior Fiction,18930,6272,25202,2021
Ballyclare Library,Junior Fiction Large Print,5,7,12,2021
Ballyclare Library,Junior Fiction Spoken Word,28,12,40,2021
Ballyclare Library,Junior Language Pack,13,9,22,2021
Ballyclare Library,Junior Non-fiction,2078,974,3052,2021
Ballyclare Library,Junior Non-fiction Large Print,1,4,5,2021
Ballyclare Library,Junior Non-fiction Spoken Word,4,2,6,2021
Ballyclare Library,Music CD,,48,48,2021
Ballyclare Library,Reading Development,13,7,20,2021
Ballyclare Library,Reading Group,191,41,232,2021
Ballyclare Library,Reference Non-borrowable,12,8,20,2021
Ballyclare Library,Teenage Fiction,223,119,342,2021
Ballyclare Library,Teenage Non-fiction,33,11,44,2021
Ballyclare Library,Uncategorised,1,1,2,2021
Ballyhackamore Library,Adult Fiction,13680,8143,21823,2021
Ballyhackamore Library,Adult Fiction Large Print,436,205,641,2021
Ballyhackamore Library,Adult Fiction Spoken Word,581,444,1025,2021
Ballyhackamore Library,Adult Non-fiction,2999,3780,6779,2021
Ballyhackamore Library,Adult Non-fiction Large Print,10,7,17,2021
Ballyhackamore Library,Adult Non-fiction Spoken Word,9,10,19,2021
Ballyhackamore Library,Adult Reference,3,7,10,2021
Ballyhackamore Library,Chatterbooks,20,7,27,2021
Ballyhackamore Library,Curriculum Support Collection,48,67,115,2021
Ballyhackamore Library,Junior Fiction,28284,12423,40707,2021
Ballyhackamore Library,Junior Fiction Large Print,4,3,7,2021
Ballyhackamore Library,Junior Fiction Spoken Word,37,39,76,2021
Ballyhackamore Library,Junior Language Pack,15,16,31,2021
Ballyhackamore Library,Junior Non-fiction,4451,1979,6430,2021
Ballyhackamore Library,Junior Non-fiction Spoken Word,10,8,18,2021
Ballyhackamore Library,Music CD,9,33,42,2021
Ballyhackamore Library,Reading Development,39,54,93,2021
Ballyhackamore Library,Reading Group,192,91,283,2021
Ballyhackamore Library,Reference Non-borrowable,2,4,6,2021
Ballyhackamore Library,Teenage Fiction,332,345,677,2021
Ballyhackamore Library,Teenage Non-fiction,26,35,61,2021
Ballyhackamore Library,Uncategorised,,5,5,2021
Ballymena Central Library,Adult Fiction,20927,10657,31584,2021
Ballymena Central Library,Adult Fiction Large Print,918,269,1187,2021
Ballymena Central Library,Adult Fiction Spoken Word,331,414,745,2021
Ballymena Central Library,Adult Non-fiction,4492,5038,9530,2021
Ballymena Central Library,Adult Non-fiction Large Print,16,4,20,2021
Ballymena Central Library,Adult Non-fiction Spoken Word,54,54,108,2021
Ballymena Central Library,Adult Reference,3,8,11,2021
Ballymena Central Library,Chatterbooks,100,46,146,2021
Ballymena Central Library,Curriculum Support Collection,116,138,254,2021
Ballymena Central Library,Junior Fiction,30933,11410,42343,2021
Ballymena Central Library,Junior Fiction Large Print,20,,20,2021
Ballymena Central Library,Junior Fiction Spoken Word,42,21,63,2021
Ballymena Central Library,Junior Language Pack,45,72,117,2021
Ballymena Central Library,Junior Non-fiction,3300,1696,4996,2021
Ballymena Central Library,Junior Non-fiction Spoken Word,5,2,7,2021
Ballymena Central Library,Music CD,,5,5,2021
Ballymena Central Library,Reading Development,39,41,80,2021
Ballymena Central Library,Reading Group,100,56,156,2021
Ballymena Central Library,Reference Non-borrowable,12,,12,2021
Ballymena Central Library,Teenage Fiction,260,167,427,2021
Ballymena Central Library,Teenage Non-fiction,23,22,45,2021
Ballymoney Library,Adult Fiction,11016,5156,16172,2021
Ballymoney Library,Adult Fiction Large Print,944,208,1152,2021
Ballymoney Library,Adult Fiction Spoken Word,259,141,400,2021
Ballymoney Library,Adult Non-fiction,2216,1865,4081,2021
Ballymoney Library,Adult Non-fiction Large Print,19,14,33,2021
Ballymoney Library,Adult Non-fiction Spoken Word,27,20,47,2021
Ballymoney Library,Adult Reference,1,,1,2021
Ballymoney Library,Chatterbooks,3,,3,2021
Ballymoney Library,Curriculum Support Collection,43,70,113,2021
Ballymoney Library,Junior Fiction,24770,6639,31409,2021
Ballymoney Library,Junior Fiction Large Print,4,5,9,2021
Ballymoney Library,Junior Fiction Spoken Word,66,20,86,2021
Ballymoney Library,Junior Language Pack,13,5,18,2021
Ballymoney Library,Junior Non-fiction,2927,1011,3938,2021
Ballymoney Library,Junior Non-fiction Spoken Word,5,3,8,2021
Ballymoney Library,Reading Development,11,17,28,2021
Ballymoney Library,Reading Group,19,9,28,2021
Ballymoney Library,Reference Non-borrowable,25,17,42,2021
Ballymoney Library,Teenage Fiction,271,179,450,2021
Ballymoney Library,Teenage Non-fiction,20,7,27,2021
Ballymoney Library,Uncategorised,1,1,2,2021
Ballynahinch Library,Adult Fiction,6023,2895,8918,2021
Ballynahinch Library,Adult Fiction Large Print,452,113,565,2021
Ballynahinch Library,Adult Fiction Spoken Word,454,284,738,2021
Ballynahinch Library,Adult Non-fiction,1315,1651,2966,2021
Ballynahinch Library,Adult Non-fiction Large Print,13,4,17,2021
Ballynahinch Library,Adult Non-fiction Spoken Word,6,7,13,2021
Ballynahinch Library,Adult Reference,4,3,7,2021
Ballynahinch Library,Chatterbooks,1,3,4,2021
Ballynahinch Library,Curriculum Support Collection,18,21,39,2021
Ballynahinch Library,DVD U,1,2,3,2021
Ballynahinch Library,Junior Fiction,14215,7740,21955,2021
Ballynahinch Library,Junior Fiction Large Print,3,14,17,2021
Ballynahinch Library,Junior Fiction Spoken Word,18,15,33,2021
Ballynahinch Library,Junior Language Pack,4,8,12,2021
Ballynahinch Library,Junior Non-fiction,1918,1401,3319,2021
Ballynahinch Library,Junior Non-fiction Spoken Word,2,,2,2021
Ballynahinch Library,Language Course ,1,1,2,2021
Ballynahinch Library,Music CD,8,3,11,2021
Ballynahinch Library,Reading Development,25,22,47,2021
Ballynahinch Library,Reading Group,103,82,185,2021
Ballynahinch Library,Reference Non-borrowable,12,9,21,2021
Ballynahinch Library,Teenage Fiction,122,105,227,2021
Ballynahinch Library,Teenage Non-fiction,17,15,32,2021
Ballynahinch Library,Uncategorised,,1,1,2021
Banbridge Library,Adult Fiction,11193,5374,16567,2021
Banbridge Library,Adult Fiction Large Print,306,111,417,2021
Banbridge Library,Adult Fiction Spoken Word,677,527,1204,2021
Banbridge Library,Adult Non-fiction,2849,2833,5682,2021
Banbridge Library,Adult Non-fiction Large Print,16,6,22,2021
Banbridge Library,Adult Non-fiction Spoken Word,18,40,58,2021
Banbridge Library,Adult Reference,6,,6,2021
Banbridge Library,Chatterbooks,5,6,11,2021
Banbridge Library,Curriculum Support Collection,99,63,162,2021
Banbridge Library,DVD U,1,,1,2021
Banbridge Library,Junior Fiction,29016,8541,37557,2021
Banbridge Library,Junior Fiction Large Print,4,3,7,2021
Banbridge Library,Junior Fiction Spoken Word,69,34,103,2021
Banbridge Library,Junior Language Pack,20,24,44,2021
Banbridge Library,Junior Non-fiction,4810,1892,6702,2021
Banbridge Library,Junior Non-fiction Spoken Word,3,8,11,2021
Banbridge Library,Language Course ,,6,6,2021
Banbridge Library,Music CD,,6,6,2021
Banbridge Library,Reading Development,15,22,37,2021
Banbridge Library,Reading Group,100,67,167,2021
Banbridge Library,Reference Non-borrowable,30,32,62,2021
Banbridge Library,Teenage Fiction,257,172,429,2021
Banbridge Library,Teenage Non-fiction,56,35,91,2021
Banbridge Library,Uncategorised,1,,1,2021
Bangor Carnegie Library,Adult Fiction,34912,14927,49839,2021
Bangor Carnegie Library,Adult Fiction Large Print,1385,611,1996,2021
Bangor Carnegie Library,Adult Fiction Spoken Word,1635,813,2448,2021
Bangor Carnegie Library,Adult Non-fiction,7510,7455,14965,2021
Bangor Carnegie Library,Adult Non-fiction Large Print,91,51,142,2021
Bangor Carnegie Library,Adult Non-fiction Spoken Word,89,65,154,2021
Bangor Carnegie Library,Adult Reference,12,47,59,2021
Bangor Carnegie Library,Chatterbooks,6,2,8,2021
Bangor Carnegie Library,Curriculum Support Collection,110,153,263,2021
Bangor Carnegie Library,Junior Fiction,43955,12968,56923,2021
Bangor Carnegie Library,Junior Fiction Large Print,37,22,59,2021
Bangor Carnegie Library,Junior Fiction Spoken Word,210,103,313,2021
Bangor Carnegie Library,Junior Language Pack,75,91,166,2021
Bangor Carnegie Library,Junior Non-fiction,6852,2610,9462,2021
Bangor Carnegie Library,Junior Non-fiction Spoken Word,9,21,30,2021
Bangor Carnegie Library,Language Course ,1,3,4,2021
Bangor Carnegie Library,Music CD,71,57,128,2021
Bangor Carnegie Library,Reading Development,147,82,229,2021
Bangor Carnegie Library,Reading Group,110,60,170,2021
Bangor Carnegie Library,Reference Non-borrowable,10,12,22,2021
Bangor Carnegie Library,Teenage Fiction,662,349,1011,2021
Bangor Carnegie Library,Teenage Non-fiction,87,71,158,2021
Bangor Carnegie Library,Uncategorised,12,1,13,2021
Belfast Central Library,Adult Fiction,12627,8433,21060,2021
Belfast Central Library,Adult Fiction Large Print,598,221,819,2021
Belfast Central Library,Adult Fiction Spoken Word,1246,721,1967,2021
Belfast Central Library,Adult Non-fiction,12281,11628,23909,2021
Belfast Central Library,Adult Non-fiction Large Print,10,7,17,2021
Belfast Central Library,Adult Non-fiction Spoken Word,40,26,66,2021
Belfast Central Library,Adult Reference,847,474,1321,2021
Belfast Central Library,Chatterbooks,,8,8,2021
Belfast Central Library,Curriculum Support Collection,130,229,359,2021
Belfast Central Library,DVD 15,6,,6,2021
Belfast Central Library,DVD 18,4,,4,2021
Belfast Central Library,DVD Exempt,21,,21,2021
Belfast Central Library,DVD U,124,30,154,2021
Belfast Central Library,Junior Fiction,9952,5859,15811,2021
Belfast Central Library,Junior Fiction Large Print,18,1,19,2021
Belfast Central Library,Junior Fiction Spoken Word,49,10,59,2021
Belfast Central Library,Junior Language Pack,82,120,202,2021
Belfast Central Library,Junior Non-fiction,1403,936,2339,2021
Belfast Central Library,Junior Non-fiction Spoken Word,6,1,7,2021
Belfast Central Library,Language Course ,15,3,18,2021
Belfast Central Library,Music Cassette,2,,2,2021
Belfast Central Library,Music CD,5325,725,6050,2021
Belfast Central Library,Reading Development,96,95,191,2021
Belfast Central Library,Reading Group,131,150,281,2021
Belfast Central Library,Reference Non-borrowable,41,11,52,2021
Belfast Central Library,Teenage Fiction,194,122,316,2021
Belfast Central Library,Teenage Non-fiction,18,31,49,2021
Belfast Central Library,Uncategorised,15,3,18,2021
Bessbrook Library,Adult Fiction,4540,2573,7113,2021
Bessbrook Library,Adult Fiction Large Print,321,238,559,2021
Bessbrook Library,Adult Fiction Spoken Word,54,62,116,2021
Bessbrook Library,Adult Non-fiction,678,824,1502,2021
Bessbrook Library,Adult Non-fiction Large Print,4,4,8,2021
Bessbrook Library,Adult Reference,1,,1,2021
Bessbrook Library,Curriculum Support Collection,9,14,23,2021
Bessbrook Library,Junior Fiction,9437,3738,13175,2021
Bessbrook Library,Junior Fiction Large Print,2,,2,2021
Bessbrook Library,Junior Fiction Spoken Word,10,14,24,2021
Bessbrook Library,Junior Non-fiction,1463,597,2060,2021
Bessbrook Library,Reading Development,19,33,52,2021
Bessbrook Library,Reference Non-borrowable,1,2,3,2021
Bessbrook Library,Teenage Fiction,107,81,188,2021
Bessbrook Library,Teenage Non-fiction,18,13,31,2021
Bessbrook Library,Uncategorised,1,,1,2021
Broughshane Library,Adult Fiction,2907,1053,3960,2021
Broughshane Library,Adult Fiction Large Print,543,114,657,2021
Broughshane Library,Adult Fiction Spoken Word,97,55,152,2021
Broughshane Library,Adult Non-fiction,484,416,900,2021
Broughshane Library,Adult Non-fiction Large Print,2,1,3,2021
Broughshane Library,Adult Non-fiction Spoken Word,4,4,8,2021
Broughshane Library,Curriculum Support Collection,10,30,40,2021
Broughshane Library,Junior Fiction,5244,1453,6697,2021
Broughshane Library,Junior Fiction Large Print,1,,1,2021
Broughshane Library,Junior Fiction Spoken Word,5,,5,2021
Broughshane Library,Junior Language Pack,1,2,3,2021
Broughshane Library,Junior Non-fiction,664,215,879,2021
Broughshane Library,Reading Development,23,3,26,2021
Broughshane Library,Reading Group,96,11,107,2021
Broughshane Library,Teenage Fiction,31,14,45,2021
Broughshane Library,Teenage Non-fiction,11,5,16,2021
Brownlow Library,Adult Fiction,5397,2199,7596,2021
Brownlow Library,Adult Fiction Large Print,828,141,969,2021
Brownlow Library,Adult Fiction Spoken Word,392,243,635,2021
Brownlow Library,Adult Non-fiction,1499,1328,2827,2021
Brownlow Library,Adult Non-fiction Large Print,5,1,6,2021
Brownlow Library,Adult Non-fiction Spoken Word,15,8,23,2021
Brownlow Library,Adult Reference,,1,1,2021
Brownlow Library,Chatterbooks,3,,3,2021
Brownlow Library,Curriculum Support Collection,68,28,96,2021
Brownlow Library,Junior Fiction,15943,4562,20505,2021
Brownlow Library,Junior Fiction Large Print,8,2,10,2021
Brownlow Library,Junior Fiction Spoken Word,18,8,26,2021
Brownlow Library,Junior Language Pack,,5,5,2021
Brownlow Library,Junior Non-fiction,2303,608,2911,2021
Brownlow Library,Junior Non-fiction Spoken Word,,1,1,2021
Brownlow Library,Language Course ,,7,7,2021
Brownlow Library,Reading Development,14,5,19,2021
Brownlow Library,Reading Group,136,64,200,2021
Brownlow Library,Reference Non-borrowable,13,3,16,2021
Brownlow Library,Teenage Fiction,136,71,207,2021
Brownlow Library,Teenage Non-fiction,35,25,60,2021
Brownlow Library,Uncategorised,3,1,4,2021
Carnlough Library,Adult Fiction,2659,1745,4404,2021
Carnlough Library,Adult Fiction Large Print,207,98,305,2021
Carnlough Library,Adult Fiction Spoken Word,75,45,120,2021
Carnlough Library,Adult Non-fiction,657,717,1374,2021
Carnlough Library,Adult Non-fiction Large Print,2,,2,2021
Carnlough Library,Adult Non-fiction Spoken Word,5,5,10,2021
Carnlough Library,Adult Reference,1,5,6,2021
Carnlough Library,Chatterbooks,238,69,307,2021
Carnlough Library,Curriculum Support Collection,5,7,12,2021
Carnlough Library,Junior Fiction,4804,2595,7399,2021
Carnlough Library,Junior Fiction Spoken Word,1,1,2,2021
Carnlough Library,Junior Language Pack,4,6,10,2021
Carnlough Library,Junior Non-fiction,890,725,1615,2021
Carnlough Library,Reading Development,6,8,14,2021
Carnlough Library,Reading Group,192,236,428,2021
Carnlough Library,Reference Non-borrowable,1,,1,2021
Carnlough Library,Teenage Fiction,17,17,34,2021
Carnlough Library,Teenage Non-fiction,3,10,13,2021
Carnlough Library,Uncategorised,,2,2,2021
Carrickfergus Library,Adult Fiction,21526,9297,30823,2021
Carrickfergus Library,Adult Fiction Large Print,1481,237,1718,2021
Carrickfergus Library,Adult Fiction Spoken Word,561,313,874,2021
Carrickfergus Library,Adult Non-fiction,5784,5487,11271,2021
Carrickfergus Library,Adult Non-fiction Large Print,47,12,59,2021
Carrickfergus Library,Adult Non-fiction Spoken Word,57,60,117,2021
Carrickfergus Library,Adult Reference,2,6,8,2021
Carrickfergus Library,Chatterbooks,66,14,80,2021
Carrickfergus Library,Curriculum Support Collection,144,242,386,2021
Carrickfergus Library,DVD U,,6,6,2021
Carrickfergus Library,Junior Fiction,27277,8149,35426,2021
Carrickfergus Library,Junior Fiction Large Print,3,2,5,2021
Carrickfergus Library,Junior Fiction Spoken Word,30,13,43,2021
Carrickfergus Library,Junior Language Pack,57,75,132,2021
Carrickfergus Library,Junior Non-fiction,3699,1549,5248,2021
Carrickfergus Library,Junior Non-fiction Spoken Word,6,,6,2021
Carrickfergus Library,Junior Reference,3,5,8,2021
Carrickfergus Library,Language Course ,1,1,2,2021
Carrickfergus Library,Music CD,,16,16,2021
Carrickfergus Library,Reading Development,41,30,71,2021
Carrickfergus Library,Reading Group,396,204,600,2021
Carrickfergus Library,Teenage Fiction,377,155,532,2021
Carrickfergus Library,Teenage Non-fiction,38,47,85,2021
Carrickfergus Library,Uncategorised,3,1,4,2021
Carryduff Library,Adult Fiction,5360,2539,7899,2021
Carryduff Library,Adult Fiction Large Print,138,62,200,2021
Carryduff Library,Adult Fiction Spoken Word,168,81,249,2021
Carryduff Library,Adult Non-fiction,1282,1019,2301,2021
Carryduff Library,Adult Non-fiction Large Print,3,2,5,2021
Carryduff Library,Adult Non-fiction Spoken Word,9,1,10,2021
Carryduff Library,Adult Reference,6,14,20,2021
Carryduff Library,Curriculum Support Collection,17,21,38,2021
Carryduff Library,Junior Fiction,14114,5007,19121,2021
Carryduff Library,Junior Fiction Large Print,8,,8,2021
Carryduff Library,Junior Fiction Spoken Word,14,11,25,2021
Carryduff Library,Junior Language Pack,6,3,9,2021
Carryduff Library,Junior Non-fiction,1859,723,2582,2021
Carryduff Library,Junior Non-fiction Spoken Word,5,2,7,2021
Carryduff Library,Language Course ,1,2,3,2021
Carryduff Library,Music CD,,6,6,2021
Carryduff Library,Reading Development,6,30,36,2021
Carryduff Library,Reading Group,177,35,212,2021
Carryduff Library,Reference Non-borrowable,1,2,3,2021
Carryduff Library,Teenage Fiction,58,67,125,2021
Carryduff Library,Teenage Non-fiction,7,2,9,2021
Castlederg Library,Adult Fiction,2646,1580,4226,2021
Castlederg Library,Adult Fiction Large Print,455,67,522,2021
Castlederg Library,Adult Fiction Spoken Word,19,8,27,2021
Castlederg Library,Adult Non-fiction,608,512,1120,2021
Castlederg Library,Adult Non-fiction Large Print,4,2,6,2021
Castlederg Library,Adult Non-fiction Spoken Word,2,,2,2021
Castlederg Library,Adult Reference,1,,1,2021
Castlederg Library,Curriculum Support Collection,7,10,17,2021
Castlederg Library,Junior Fiction,10743,3523,14266,2021
Castlederg Library,Junior Fiction Large Print,6,2,8,2021
Castlederg Library,Junior Fiction Spoken Word,7,10,17,2021
Castlederg Library,Junior Language Pack,2,2,4,2021
Castlederg Library,Junior Non-fiction,1754,914,2668,2021
Castlederg Library,Language Course ,1,,1,2021
Castlederg Library,Reading Development,30,11,41,2021
Castlederg Library,Reading Group,55,30,85,2021
Castlederg Library,Reference Non-borrowable,,1,1,2021
Castlederg Library,Teenage Fiction,62,26,88,2021
Castlederg Library,Teenage Non-fiction,5,5,10,2021
Castlederg Library,Uncategorised,5,1,6,2021
Castlewellan Library,Adult Fiction,3229,1609,4838,2021
Castlewellan Library,Adult Fiction Large Print,428,164,592,2021
Castlewellan Library,Adult Fiction Spoken Word,124,113,237,2021
Castlewellan Library,Adult Non-fiction,878,807,1685,2021
Castlewellan Library,Adult Non-fiction Large Print,4,,4,2021
Castlewellan Library,Adult Non-fiction Spoken Word,13,18,31,2021
Castlewellan Library,Adult Reference,1,1,2,2021
Castlewellan Library,Chatterbooks,2,,2,2021
Castlewellan Library,Curriculum Support Collection,12,22,34,2021
Castlewellan Library,DVD U,,1,1,2021
Castlewellan Library,Junior Fiction,9207,3357,12564,2021
Castlewellan Library,Junior Fiction Large Print,11,7,18,2021
Castlewellan Library,Junior Fiction Spoken Word,27,21,48,2021
Castlewellan Library,Junior Language Pack,,3,3,2021
Castlewellan Library,Junior Non-fiction,1793,773,2566,2021
Castlewellan Library,Junior Non-fiction Spoken Word,5,,5,2021
Castlewellan Library,Language Course ,1,,1,2021
Castlewellan Library,Reading Development,51,17,68,2021
Castlewellan Library,Reading Group,77,24,101,2021
Castlewellan Library,Reference Non-borrowable,4,3,7,2021
Castlewellan Library,Teenage Fiction,112,101,213,2021
Castlewellan Library,Teenage Non-fiction,7,10,17,2021
Castlewellan Library,Uncategorised,,2,2,2021
Chichester Library,Adult Fiction,8863,4798,13661,2021
Chichester Library,Adult Fiction Large Print,992,323,1315,2021
Chichester Library,Adult Fiction Spoken Word,391,109,500,2021
Chichester Library,Adult Non-fiction,1938,2173,4111,2021
Chichester Library,Adult Non-fiction Large Print,9,18,27,2021
Chichester Library,Adult Non-fiction Spoken Word,13,1,14,2021
Chichester Library,Adult Reference,5,6,11,2021
Chichester Library,Chatterbooks,11,,11,2021
Chichester Library,Curriculum Support Collection,51,142,193,2021
Chichester Library,DVD 18,,1,1,2021
Chichester Library,DVD U,,3,3,2021
Chichester Library,Junior Fiction,12698,3785,16483,2021
Chichester Library,Junior Fiction Large Print,10,4,14,2021
Chichester Library,Junior Fiction Spoken Word,20,2,22,2021
Chichester Library,Junior Language Pack,10,31,41,2021
Chichester Library,Junior Non-fiction,1523,660,2183,2021
Chichester Library,Junior Non-fiction Spoken Word,1,3,4,2021
Chichester Library,Music CD,,28,28,2021
Chichester Library,Reading Development,108,33,141,2021
Chichester Library,Reading Group,152,101,253,2021
Chichester Library,Reference Non-borrowable,,2,2,2021
Chichester Library,Teenage Fiction,113,67,180,2021
Chichester Library,Teenage Non-fiction,33,14,47,2021
Cloughfern Library,Adult Fiction,3146,1420,4566,2021
Cloughfern Library,Adult Fiction Large Print,216,62,278,2021
Cloughfern Library,Adult Fiction Spoken Word,129,68,197,2021
Cloughfern Library,Adult Non-fiction,534,871,1405,2021
Cloughfern Library,Adult Non-fiction Large Print,6,9,15,2021
Cloughfern Library,Adult Non-fiction Spoken Word,2,,2,2021
Cloughfern Library,Curriculum Support Collection,16,21,37,2021
Cloughfern Library,Junior Fiction,5111,1640,6751,2021
Cloughfern Library,Junior Fiction Spoken Word,1,2,3,2021
Cloughfern Library,Junior Language Pack,2,3,5,2021
Cloughfern Library,Junior Non-fiction,704,336,1040,2021
Cloughfern Library,Music CD,6,,6,2021
Cloughfern Library,Reading Development,2,2,4,2021
Cloughfern Library,Reading Group,43,5,48,2021
Cloughfern Library,Reference Non-borrowable,,2,2,2021
Cloughfern Library,Teenage Fiction,58,60,118,2021
Cloughfern Library,Teenage Non-fiction,18,8,26,2021
Coalisland Library,Adult Fiction,3425,1559,4984,2021
Coalisland Library,Adult Fiction Large Print,391,78,469,2021
Coalisland Library,Adult Fiction Spoken Word,30,13,43,2021
Coalisland Library,Adult Non-fiction,1055,772,1827,2021
Coalisland Library,Adult Non-fiction Large Print,3,2,5,2021
Coalisland Library,Adult Non-fiction Spoken Word,18,5,23,2021
Coalisland Library,Adult Reference,10,2,12,2021
Coalisland Library,Chatterbooks,2,1,3,2021
Coalisland Library,Curriculum Support Collection,14,29,43,2021
Coalisland Library,Junior Fiction,14009,3719,17728,2021
Coalisland Library,Junior Fiction Large Print,6,,6,2021
