BL record ID,Type of resource,Content type,Material type,BNB number,Archival Resource Key,ISBN,Name,Dates associated with name,Type of name,Role,All names,Title,Variant titles,Series title,Number within series,Country of publication,Place of publication,Publisher,Date of creation/publication,Edition,Physical description,Dewey classification,BL shelfmark,Topics,Genre,Languages,Notes,Provenance
59002,Monograph,Language material ; Text,Volume,GB7026676,,9780333031117 ; 9780333068304,,,,,"Allott, Miriam Farris, editor [person]","Emily Brontë, Wuthering Heights : a casebook",,Casebook series,,England,Basingstoke ; London,Macmillan,1970,,"272 pages, 19 cm",823.8,X.908/22040 ; X.989/7736 ; X27/2661,"Brontë, Emily, 1818-1848",,English,,
259294,Monograph,Language material ; Text,Volume,,,,"Brontë, Charlotte",1816-1855,person,author,"Brontë, Anne, 1820-1849, author [person] ; Law, William, 1836-1901 [person] ; Hasler, John, printer [person] ; Aylott and Jones (Firm), publisher [organisation] ; Brontë, Emily, 1818-1848, author [person] ; Brontë, Charlotte, 1816-1855, author [person]",Poems,,,,England,England ; London,"Aylott & Jones, 8, Paternoster Row",1846,,"iv, 165 pages, 18 cm (8°)",,C.59.fff.6 ; Hon.1,,,English,"Currer, Ellis and Acton Bell are pseudonyms for Charlotte, Emily and Anne Brontë ; First printed work of the Brontë sisters",
259295,Monograph,Language material ; Text,Volume,,,,"Brontë, Charlotte",1816-1855,person,author,"Brontë, Charlotte, 1816-1855, author [person] ; Brontë, Emily, 1818-1848, author [person] ; Brontë, Anne, 1820-1849, author [person]",Poems,,,,United States of America,Philadelphia,Lea & Blanchard,1848,,"iv, 13-176 pages, 18 cm",,11646.bb.26,,,English,,
259429,Monograph,Language material ; Text,Volume,,,,"Brontë, Emily",1818-1848,person,author,"Brontë, Emily, 1818-1848, author [person] ; Brontë, Anne, 1820-1849 [person]",Wuthering heights : a novel,Agnes Grey,,,England,London,Thomas Cautley Newby,1847,,"3 volumes, 19 cm",,C.70.d.12,,,English,volume 3 has title: Agnes Grey : a novel / by Acton Bell,
259430,Monograph,Language material ; Text,Volume,,,,"Brontë, Emily",1818-1848,person,author,"Brontë, Charlotte, 1816-1855 [person] ; Brontë, Emily, 1818-1848, author [person] ; Brontë, Anne, 1820-1849 [person]",Wuthering Heights ; and Agnes Grey,Agnes Grey,,,England,London,"Smith, Elder",1850,"A new edition revised, with a biographical notice of the authors, a selection from their literary remains, and a preface, by Currer Bell","iii-xxiv, 504 pages, 19 cm",,C.71.bb.4,,,English,,
259431,Monograph,Language material ; Text,Volume,,,,"Brontë, Emily",1818-1848,person,author,"Brontë, Charlotte, 1816-1855 [person] ; Brontë, Emily, 1818-1848, author [person] ; Brontë, Anne, 1820-1849 [person]",Wuthering Heights ; and Agnes Grey,Agnes Grey,,,England,London,"Smith, Elder",1851,"A new edition revised, with a biographical notice of the authors, a selection from their literary remains, and a preface, by Currer Bell","xxiv, 504 pages, 19 cm",,12654.b.3,,,English,,
259432,Monograph,Language material ; Text,Volume,,,,"Brontë, Emily",1818-1848,person,author,"Brontë, Emily, 1818-1848, author [person]",Wuthering Heights : a novel,,,,United States of America,New York,Harper,1857,,"288 pages, 20 cm",,12654.t.10,,,English,,
259433,Monograph,Language material ; Text,Volume,,,,"Brontë, Emily",1818-1848,person,author,"Brontë, Charlotte, 1816-1855 [person] ; Brontë, Emily, 1818-1848, author [person] ; Brontë, Anne, 1820-1849 [person]",Wuthering Heights,Agnes Grey,,,England,London,"Smith, Elder",1858,New edition,"446 pages, 18 cm",,12654.b.1,,,English,,
379454,Monograph,Language material ; Text,Volume,,,,"Blondel, Jacques",,person,,"Blondel, Jacques [person]",Emily Brontë : expérience spirituelle et création poétique,,Publications de la Faculté des Lettres de l'Université de Clermont,"sér. 2, fascicule 3 [Publications de la Faculté des Lettres de l'Université de Clermont]",France,Paris,,1955,,452 pages (8°),,11858.h.19,"Brontë, Emily, 1818-1848",,French,,
485557,Monograph,Language material ; Text,Volume,,,,,,,,"Gaskell, Elizabeth Cleghorn, 1810-1865 [person] ; Brontë, Charlotte, 1816-1855, author [person] ; Brontë, Emily, 1818-1848, author [person] ; Brontë, Anne, 1820-1849, author [person]",Life and works of Charlotte Brontë and her sisters,Life of Charlotte Brontë,,,England,London,"Smith, Elder",1872-1873,,7 volumes (8°),,2344.e.1,"Brontë, Charlotte, 1816-1855",,English,volume 7. The Life of Charlotte Brontë. By Mrs. Gaskell,
485558,Monograph,Language material ; Text,Volume,,,,,,,,"Brontë, Patrick, 1777-1861, author [person] ; Brontë, Anne, 1820-1849, author [person] ; Brontë, Emily, 1818-1848, author [person] ; Brontë, Charlotte, 1816-1855, author [person] ; S, F. J. [person]","The works of Charlotte, Emily and Anne Brontë",,,,England,London,J M Dent,1893,,12 volumes (8°),,012612.ee.12 ; 20098.bb.14,,Fiction,English,With plates including portraits The editor's prefaces signed: F. J. S.; L.P,
485560,Monograph,Language material ; Text,Volume,,,,,,,,"Brontë, Patrick, 1777-1861, author [person] ; Brontë, Charlotte, 1816-1855, author [person] ; Brontë, Emily, 1818-1848, author [person] ; Brontë, Anne, 1820-1849, author [person]",The works of the Brontës,"Works of Charlotte, Emily and Anne Brontë",,,England,London,J M Dent,1901,Temple edition,12 volumes (8°),,012614.ee.1,,Fiction,English,"A reissue of the edition of 1893 published as: The works of Charlotte, Emily and Anne Brontë",
485561,Monograph,Language material ; Text,Volume,,,,,,,,"Brontë, Anne, 1820-1849, author [person] ; Brontë, Emily, 1818-1848, author [person] ; Scott, Temple, 1864-1939, editor [person] ; Brontë, Charlotte, 1816-1855, author [person] ; Gaskell, Elizabeth Cleghorn, 1810-1865 [person]",Novels of the sisters Brontë,Life of Charlotte Brontë,,,England,London,Downey,1901,"Thornton edition, edited by Temple Scott","12 volumes, portraits (8°)",,012622.g.5,,Fiction,English,volume 12 is The life of Charlotte Brontë by E.C. Gaskell,
485563,Monograph,Language material ; Text,Volume,,,,"Brontë, Charlotte",1816-1855,person,author,"Brontë, Charlotte, 1816-1855, author [person] ; Brontë, Emily, 1818-1848, author [person] ; Brontë, Anne, 1820-1849, author [person]",Poems,,,,United States of America,New York,"Dodd, Mead",1902,,"x, 214 pages (8°)",,Ashley2450,,,English,One of eighty copies on Van Gelder paper,
485564,Monograph,Language material ; Text,Volume,,,,,,,,"Gaskell, Elizabeth Cleghorn, 1810-1865 [person] ; Brontë, Charlotte, 1816-1855, author [person] ; Brontë, Emily, 1818-1848, author [person] ; Brontë, Anne, 1820-1849, author [person]",The complete works of Charlotte Brontë and her sisters,Life of Charlotte Brontë,,,England,London,Gresham,1905,,7 volumes (8°),,12268.dd.4,,,English,volume 7= Life of Charlotte Brontë. By Mrs. Gaskell,
485565,Monograph,Language material ; Text,Volume,,,,,,,,"Brontë, Anne, 1820-1849, author [person] ; Brontë, Emily, 1818-1848, author [person] ; Dulac, Edmund, 1882-1953, illustrator [person] ; Brontë, Charlotte, 1816-1855, author [person] ; S, F. J. [person]",The novels of the sisters Brontë,,,,England ; United States of America,London ; New York,E. P. Dutton ; J M Dent,1905,,"10 volumes, illustrations, 19 cm (8°)",,012613.f.8,,Fiction,English,The editor's prefaces signed: F. J. S ; With illustrations by Edmund Dulac,
485566,Monograph,Language material ; Text,Volume,,,,,,,,"Brontë, Anne, 1820-1849 [person] ; Brontë, Emily, 1818-1848 [person] ; Scott, Temple, 1864-1939, editor [person] ; Brontë, Charlotte, 1816-1855 [person] ; Gaskell, Elizabeth Cleghorn, 1810-1865 [person]",Novels of the sisters Brontë,Life of Charlotte Brontë,,,Scotland,Edinburgh,John Grant,1905,Thornton edition,"12 volumes, illustrations, 22 cm (8°)",,12650.aa.1,,,English,A reissue of the edition of 1901 ; volume 12 is The life of Charlotte Brontë by E.C. Gaskell,
485568,Monograph,Language material ; Text,Volume,,,,,,,,"Sinclair, May, writer [person] ; Brontë, Anne, 1820-1849, author [person] ; Brontë, Emily, 1818-1848, author [person] ; Dulac, Edmund, 1882-1953, illustrator [person] ; Brontë, Charlotte, 1816-1855, author [person]","The novels of Charlotte, Emily & Anne Brontë",,,,England,London ; Toronto,J M Dent,1938,,"6 volumes, 8°",,12632.n.22,,Fiction,English,With illustrations by Edmund Dulac ; With introductions by May Sinclair,
485573,Monograph,Language material ; Text,Volume,,,,"Brontë, Emily",1818-1848,person,author,"Brontë, Charlotte, 1816-1855 [person] ; Brontë, Emily, 1818-1848, author [person]",Wuthering heights : a novel,Biographical notice of Ellis and Acton Bell,Shakespeare Head Brontë,,England,Boston ; Oxford,Basil Blackwell ; Houghton Mifflin,1931,,"xii, 385, 9 pages, illustrations, 24 cm",,L.R.40.bb,,,English,"'Biographical notice of Ellis and Acton Bell' by Currer Bell, 9 p. at end",
485580,Monograph,Language material ; Text,Volume,,,,,,,,"Brontë, Anne, 1820-1849 [person] ; Wise, Thomas James, 1859-1937, editor [person] ; Brontë, Emily, 1818-1848 [person] ; Brontë, Charlotte, 1816-1855 [person] ; Symington, John Alexander, editor [person]",The poems of Emily Jane Brontë and Anne Brontë,Poems,Shakespeare Head Brontë,,England,Oxford,Basil Blackwell ; Press ; Shakespeare Head Press,1934,,"xxiii, 374 pages, 2 unnumbered leaves of plates, 2 portraits (black and white), facsimiles, 24 cm",,L.R.40.bb,,,English,"'A manuscript volume of poems by Emily Jane Brontë, in facsimile': pages 301-329 ; 'A manuscript volume of poems by Anne Brontë, in facsimile': pages 335-356 ; 'Five hundred copies of this edition have been printed in England at the Shakespeare Head Press, Saint Aldates, Oxford'--Title page verso ; 'Memoir of Emily Jane Brontë by Charlotte Brontë': pages xxi-xxiii ; 'Memoir of Anne Brontë by Charlotte Brontë': page xxiv ; Edited by Thomas James Wise and John Alexander Symington",
485582,Monograph,Language material ; Text,Volume,,,,,,,,"Bentley, Phyllis Eleanor, 1894-1977, compiler ; writer [person] ; Brontë, Anne, 1820-1849 [person] ; Brontë, Emily, 1818-1848 [person] ; Tonbridge Printers, printer [organisation] ; Brontë, Charlotte, 1816-1855 [person] ; Allan Wingate (Firm), publisher [organisation]",The Brontës,Agnes Grey ; Albion and Marina ; Emma ; Farewell to Angria ; Jane Eyre ; Mina Laury ; Poems ; Professor ; Shirley ; Tenant of Wildfell Hall ; Villette ; Wuthering Heights,,,England,"England ; London ; Tonbridge ; Tonbridge, Kent",Allan Wingate,1949,"Heather edition, arranged and introduced by Phyllis Bentley","6 volumes, 19 cm (8°)",,012274.ff.3,,Novel ; Poetry or verse,English,'The Heather edition of the works of the Brontës first published by Allan Wingate (Publishers) Ltd'--Title page verso ; Collective title from verso of half title pages on each volume,
485584,Monograph,Language material ; Text,Volume,,,,,,,,"Bentley, Phyllis Eleanor, 1894-1977, editor [person] ; Brontë, Charlotte, 1816-1855 [person] ; Brontë, Emily, 1818-1848 [person] ; Brontë, Anne, 1820-1849 [person]","The professor : Tales from Angria ; Emma, a fragment",Emma ; Poems ; Professor ; Tales from Angria,,,England ; Scotland,Glasgow ; London,Collins,1954,,"480 pages, portraits, 19 cm",,12299.a.42 ; W68/1439,,,English,,
485690,Monograph,Language material ; Text,Volume,,,,"Brontë, Charlotte",1816-1855,person,author,"Brontë, Charlotte, 1816-1855, author [person] ; Brontë, Emily, 1818-1848 [person] ; Brontë, Charlotte, 1816-1855 [person] ; Brontë, Anne, 1820-1849 [person]",The professor,Poems,,,England,London,"Smith, Elder",1860,,"iv, 436 pages, 18 cm",,12631.p.24,,Fiction,English,,
485754,Monograph,Language material ; Text,Volume,,,,"Brontë, Charlotte",1816-1855,person,author,"Brontë, Patrick Branwell, 1817-1848, author [person] ; Brontë, Charlotte, 1816-1855, author [person] ; Brontë, Emily, 1818-1848, author [person]","The Orphans, and other poems",,,,England,London,,1917,,17 pages (4°),,C.57.i.21. (3.),,,English,One of an edition of thirty copies printed for T. J. Wise,
485765,Monograph,Language material ; Text,Volume,,,,,,,,"Brontë, Charlotte, 1816-1855 [person] ; Bradshaw Isherwood, M. E., editor [person] ; Brontë, Emily, 1818-1848 [person] ; Brontë, Anne, 1820-1849 [person]",The Brontë birthday book : containing extracts for every date in the year from the works of the sisters Brontë,Works,,,England,London,H. J. Drane,1899,,246 pages (16°),,12273.de.16,,,English,,
485766,Monograph,Language material ; Text,Volume,,,,,,,,"Brontë, Charlotte, 1816-1855 [person] ; Brontë, Emily, 1818-1848 [person] ; Brontë, Anne, 1820-1849 [person]",Brontë thoughts : from the writings of the Brontë sisters,Works,Langham booklets,,England,London,"Siegle, Hill",1912,,96 pages (32°),,944.b.70,,,English,,
485768,Monograph,Language material ; Text,Volume,,,,,,,,"Benson, Arthur Christopher, 1862-1925, editor ; writer [person] ; Brontë, Anne, 1820-1849 [person] ; Brontë, Patrick Branwell, 1817-1848 [person] ; Brontë, Emily, 1818-1848 [person] ; Brontë, Charlotte, 1816-1855 [person]","Brontë poems : selections from the poetry of Charlotte, Emily, Anne and Branwell Brontë",Poems,,,England,London,"Smith, Elder",1915,,"xxxv, 399 pages, portraits, facsimiles (8°)",,11641.aa.61,,,English,,
485769,Monograph,Language material ; Text,Volume,,,,,,,,"Treble, H. A. (Henry Arthur), 1877-, editor [person] ; Brontë, Charlotte, 1816-1855 [person] ; Brontë, Emily, 1818-1848 [person]",Selections from the Brontës : being extracts from the novels of Charlotte and Emily Brontë,Jane Eyre ; Shirley ; Villette ; Wuthering Heights,,,England,Cambridge,University Press,1927,,"xxviii, 183 pages, 19 cm (8°)",,012638.aa.52,,Fiction,English,"Selections from Villette, Jane Eyre, and Shirley, by Charlotte Brontë; and Wuthering Heights, by Emily Brontë",
485771,Monograph,Language material ; Text,Volume,,,,"Brontë, Emily",1818-1848,person,author,"Shorter, Clement King, 1857-1926 [person] ; Nicoll, W. Robertson (William Robertson), Sir, 1851-1923 [person] ; Brontë, Emily, 1818-1848, author [person]",The complete works of Emily Brontë,Works,,,England,London,Hodder & Stoughton,1910-1911,,2 volumes (8°),,012273.f.1,,,English,,
485772,Monograph,Language material ; Text,Volume,,,,"Brontë, Emily",1818-1848,person,author,"Shorter, Clement King, 1857-1926, editor [person] ; Brontë, Emily, 1818-1848, author [person] ; Hatfield, C. W. (Charles William) [person]",The complete poems of Emily Jane Brontë,Poems,,,England,London,Hodder & Stoughton,1923,,"xxiv, 196 pages, facsimiles (8°)",,11642.eee.34,,,English,,
485773,Monograph,Language material ; Text,Volume,,,,"Brontë, Emily",1818-1848,person,author,"Hatfield, C. W. (Charles William), editor [person] ; Brontë, Emily, 1818-1848, author [person]",The complete poems of Emily Jane Brontë,Poems,,,United States of America,New York,Columbia University Press,1941,,"xxi, 262 pages, facsimiles (8°)",,11612.g.10 ; 821.8 *744*,,,English,,
485774,Monograph,Language material ; Text,Volume,GB5111394,,,"Brontë, Emily",1818-1848,person,author,"Henderson, Philip, 1906-1977, editor ; writer [person] ; Brontë, Emily, 1818-1848, author [person]",The complete poems of Emily Brontë,Poems,,,England,London,Folio Society,1951,,"xv, 282 pages, portraits, 19 cm (8°)",821.8,11613.f.3,,,English,,
485775,Monograph,Language material ; Text,Volume,,,,"Brontë, Emily",1818-1848,person,author,"Symons, Arthur, 1865-1945, writer [person] ; Brontë, Emily, 1818-1848, author [person]",Poems of Emily Brontë,Poems. Selections,Favourite classics,,England,London,William Heinemann,1906,,"xii, 70 pages (8°)",,012203.e.6/9,,,English,,
485776,Monograph,Language material ; Text,Volume,,,,"Brontë, Emily",1818-1848,person,author,"Brontë, Emily, 1818-1848, author [person]",Poems,Poems. Selections,,,England,London,Selwyn & Blount,1923,,"93 pages, portraits (8°)",,11643.d.10,,,English,,
485777,Monograph,Language material ; Text,Volume,,,,"Brontë, Emily",1818-1848,person,author,"Graham, Marcelle, translator [person] ; Belmont, Georges, translator [person] ; Brontë, Emily, 1818-1848, author [person] ; Jaloux, Edmond, 1878-1949, writer [person]",Poèmes,Poems. French,,,France,Paris,,1933,,"xxiv, 186 pages (8°)",,11654.aaa.32,,,French,,
485778,Monograph,Language material ; Text,Volume,,,,"Brontë, Emily",1818-1848,person,author,"Boulenger, Jacques, writer [person] ; Pascal, Pierre, 1890-1983, translator [person] ; Brontë, Emily, 1818-1848, author [person]",Les poësies d'Emily Brontë,Poems. French,,,France,Paris,Mercure de France,1943,,"xxxi, 112 pages, 20 cm",,X.908/30404,,,French,,
485779,Monograph,Language material ; Text,Volume,,,,"Brontë, Emily",1818-1848,person,author,"Brown, Helen, editor [person] ; Brontë, Emily, 1818-1848, author [person] ; Mott, Joan, editor [person]",Gondal poems,,,,England,Oxford,Basil Blackwell ; Shakespeare Head,1938,,"47 pages, illustrations (facsimiles), 24 cm (8°)",,11656.b.8,,,English,,
485780,Monograph,Language material ; Text,Volume,,,,"Brontë, Emily",1818-1848,person,author,"Nagel, Lorine White, translator [person] ; Brontë, Emily, 1818-1848, author [person] ; Ratchford, Fannie Elizabeth, 1887-1974, writer [person]",Five essays written in French,,,,United States of America,El Paso,University of Texas Press,1948,,"19 pages, 23 cm (8°)",,12361.b.5,,,English,,
485781,Monograph,Language material ; Text,Volume,,,,"Brontë, Emily",1818-1848,person,author,"Brontë, Emily, 1818-1848, author [person] ; Ratchford, Fannie Elizabeth, 1887-1974, editor ; writer [person]",Gondal's Queen : a novel in verse,,,,United States of America,Austin,University of Texas Press,1955,,"207 pages, 4 unnumbered pages of plates, portraits, facsimiles, 24 cm (8°)",,011388.h.14 ; W74/8864,,,English,Includes indexes,
485782,Monograph,Language material ; Text,Volume,,,,"Brontë, Emily",1818-1848,person,author,"Brontë, Emily, 1818-1848, author [person]",Wuthering Heights,,,,United States of America,New York,Harper,1862,,288 pages (12°),,11351.a.19,,,English,,
485783,Monograph,Language material ; Text,Volume,,,,"Brontë, Emily",1818-1848,person,author,"Brontë, Emily, 1818-1848, author [person]",Wuthering Heights,,Cassell's red library,,England,London,,1890,,382 pages (8°),,12600.ccc.21,,Fiction,English,,
485784,Monograph,Language material ; Text,Volume,,,,"Brontë, Emily",1818-1848,person,author,"Brontë, Emily, 1818-1848, author [person]",Wuthering Heights,,,,England,London,G. Routledge,1892,,,,12611.h.19,,Fiction,English,,
485785,Monograph,Language material ; Text,Volume,,,,"Brontë, Emily",1818-1848,person,author,"Brontë, Emily, 1818-1848, author [person]",Wuthering Heights,,,,England,London,G. Routledge,1892,,185 pages (8°),,012611.k.34,,Fiction,English,,
485786,Monograph,Language material ; Text,Volume,,,,"Brontë, Emily",1818-1848,person,author,"Brontë, Emily, 1818-1848, author [person]",Wuthering Heights,,,,England,London,R. E,1893,,382 pages (8°),,012621.g.5,,Fiction,English,,
485787,Monograph,Language material ; Text,Volume,,,,,,,,"Brontë, Charlotte, 1816-1855 [person] ; Brontë, Emily, 1818-1848 [person] ; Brontë, Anne, 1820-1849 [person]","Wuthering Heights : Agnes Grey, and Poems",Agnes Grey ; Poems ; Wuthering Heights,New century library,,England,London,T. Nelson,1905,,"xii, 333, 191, 162 pages, 1 unnumbered leaf of plates, 1 illustration, 17 cm (8°)",,012209.de.2/5,,,English,,
485788,Monograph,Language material ; Text,Volume,,,,"Brontë, Emily",1818-1848,person,author,"Brontë, Emily, 1818-1848, author [person]",Wuthering Heights,,Sisley books,,England,London,,1907,,373 pages (8°),,12203.r.8/7,,,English,,
485789,Monograph,Language material ; Text,Volume,,,,"Brontë, Emily",1818-1848,person,author,"Rhys, Ernest, 1859-1946, editor ; writer [person] ; Brontë, Emily, 1818-1848, author [person]",Wuthering Heights,,Everyman's library,,England ; United States of America,London ; New York,E. P. Dutton ; J M Dent,1907,,"xxviii, 371 pages (8°)",,12206.p.1/218,,,English,,
485790,Monograph,Language material ; Text,Volume,,,,"Brontë, Emily",1818-1848,person,author,"Garrod, H. W. (Heathcote William), 1878-1960, writer [person] ; Brontë, Emily, 1818-1848, author [person]",Wuthering Heights,,World's classics,,England,London,Oxford University Press,1930,,"xxxi, 431 pages (8°)",,012209.df.259,,,English,,
485791,Monograph,Language material ; Text,Volume,,,,"Brontë, Emily",1818-1848,person,author,"Leighton, Clare, 1898-1989, illustrator [person] ; Brontë, Emily, 1818-1848, author [person]",Wuthering Heights,,,,England,London,Duckworth,1931,,"xvii, 325 pages (4°)",,012604.d.20,,Fiction,English,,
485792,Monograph,Language material ; Text,Volume,,,,"Brontë, Emily",1818-1848,person,author,"Brock, C. E. (Charles Edmund), 1870-1938, illustrator [person] ; Brontë, Emily, 1818-1848, author [person]",Wuthering Heights,,,,England,London,T. Nelson,1933,,333 pages (8°),,012600.aaa.42,,Fiction,English,"A reissue, with the addition of plates, of the edition of 1915",
485793,Monograph,Language material ; Text,Volume,,,,"Brontë, Emily",1818-1848,person,author,"Brontë, Emily, 1818-1848, author [person]",Wuthering Heights,,People's library,number 85 [People's library],England,London,Cassell,1909,,314 pages (8°),,012206.de.1/82,,,English,,
485794,Monograph,Language material ; Text,Volume,,,,"Brontë, Emily",1818-1848,person,author,"Brontë, Emily, 1818-1848, author [person]",Wuthering Heights,,,,England ; Scotland,Glasgow ; London,Collins,1910,,376 pages (8°),,012643.tt.31,,,English,,
485795,Monograph,Language material ; Text,Volume,,,,"Brontë, Emily",1818-1848,person,author,"Brontë, Emily, 1818-1848, author [person]",Wuthering Heights,,Nelson's classics,,England,London,,1915,,333 pages (8°),,012206.ff.39,,,English,,
485796,Monograph,Language material ; Text,Volume,,,,"Brontë, Emily",1818-1848,person,author,"Brontë, Emily, 1818-1848, author [person]",Wuthering Heights,,Abbey library,,England,London,Chapman & Dodd,1922,,297 pages (8°),,012601.ccc.32/3,,Fiction,English,,
485797,Monograph,Language material ; Text,Volume,,,,"Brontë, Emily",1818-1848,person,author,"Brontë, Emily, 1818-1848, author [person] ; Tarrant, Percy, illustrator [person]",Wuthering Heights,,,,England,London,G. G. Harrap,1924,,355 pages (8°),,012643.gg.1,,,English,,
485798,Monograph,Language material ; Text,Volume,,,,"Brontë, Emily",1818-1848,person,author,"Brontë, Emily, 1818-1848, author [person] ; Macaulay, Rose, 1881-1958, writer [person]",Wuthering Heights,,Travellers' library,,England,London,Jonathan Cape,1926,,"xxvi, 390 pages (8°)",,012208.m.1/9,,,English,,
485799,Monograph,Language material ; Text,Volume,,,,"Brontë, Emily, author",1818-1848,person,,"Brontë, Emily, author, 1818-1848 [person] ; Dobrée, Valentine, writer [person]",Wuthering Heights,,,,England ; United States of America,London ; New York,A. A. Knopf,1927,,xxxv 374 pages (8°),,012604.bb.20,,Fiction,English,,
485800,Monograph,Language material ; Text,Volume,,,,"Brontë, Emily",1818-1848,person,author,"Fulcher, Paul M. (Paul Milton), 1895-1958, writer [person] ; Brontë, Emily, 1818-1848, author [person]",Wuthering Heights,,Modern readers' series,,United States of America,New York,Macmillan,1929,,"xxxii, 348 pages (8°)",,012201.bb.1/25,,,English,,
485801,Monograph,Language material ; Text,Volume,,,,"Brontë, Emily",1818-1848,person,author,"Brontë, Emily, 1818-1848, author [person] ; Brontë, Anne, 1820-1849 [person]",Wuthering Heights,Agnes Grey,,,England,London,Daily Express Publications,1933,,511 pages (8°),,12602.p.5,,Fiction,English,Also contains: Agnes Grey / by Anne Brontë,
485802,Monograph,Language material ; Text,Volume,,,,"Brontë, Emily",1818-1848,person,author,"Winterich, John T., 1891-1970, writer [person] ; Freedman, Barnett, 1901-1958, illustrator [person] ; Brontë, Emily, 1818-1848, author [person]",Wuthering Heights,,,,England ; United States of America,London ; New York,Heritage,1940,,"xxx, 331 pages (8°)",,C.103.c.15,,,English,,
485803,Monograph,Language material ; Text,Volume,,,,"Brontë, Emily",1818-1848,person,author,"Eichenberg, Fritz, 1901-1990, illustrator [person] ; Brontë, Emily, 1818-1848, author [person]",Wuthering Heights,,,,United States of America,New York,Random House,1943,,"xiii, 212 pages (8°)",,Cup.503.d.16,,,English,,
485804,Monograph,Language material ; Text,Volume,,,,"Brontë, Emily",1818-1848,person,author,"Brontë, Emily, 1818-1848, author [person]",Wuthering Heights,,,,England,London,Everybody's,1946,,191 pages (8°),,12642.a.55,,,English,,
485805,Monograph,Language material ; Text,Volume,,,,"Brontë, Emily",1818-1848,person,author,"Brontë, Emily, 1818-1848, author [person]",Wuthering Heights,,Modern library of the world's best books,number 106 [Modern library of the world's best books],United States of America,New York,Random House,1946,,"xxvi, 390 pages (8°)",,W.P.9139/50,,,English,,
485806,Monograph,Language material ; Text,Volume,,,,"Brontë, Emily",1818-1848,person,author,"Brontë, Emily, 1818-1848, author [person]",Wuthering Heights,,Penguin books,number 524 [Penguin books],England ; United States of America,Harmondsworth ; New York,,1946,,281 pages (8°),,12208.a.1/524,,,English,,
485807,Monograph,Language material ; Text,Volume,,,,"Brontë, Emily",1818-1848,person,author,"Brontë, Emily, 1818-1848, author [person]",Wuthering Heights,,Russell classics,,England,London,R. Gawthorn,1947,,254 pages (8°),,X.989/27665. (2.),,,English,,
485808,Monograph,Language material ; Text,Volume,,,,"Brontë, Emily",1818-1848,person,author,"Brontë, Emily, 1818-1848, author [person]",Wuthering Heights,,Saturn reprints,number 1 [Saturn reprints],England,London,Saturn,1947,,"xxi, 300 pages (8°)",,W.P.9043/1,,,English,,
485810,Monograph,Language material ; Text,Volume,,,,"Brontë, Emily",1818-1848,person,author,"Gross, Anthony, 1905-1984, illustrator [person] ; Brontë, Emily, 1818-1848, author [person]",Wuthering Heights,,Camden classics,,England,London,Paul Elek,1947,,"309 pages, illustrations (8°)",,W.P.3925/1,,,English,,
485811,Monograph,Language material ; Text,Volume,,,,"Brontë, Emily",1818-1848,person,author,"Brontë, Emily, 1818-1848, author [person]",Wuthering Heights,,Percy Press reprinted,,England,London,Percy Press,1948,,284 pages (8°),,W.P.1562/3,,,English,,
485812,Monograph,Language material ; Text,Volume,,,,"Brontë, Emily",1818-1848,person,author,"Brontë, Emily, 1818-1848, author [person]",Wuthering Heights,,Holborn library,,England,London,George G. Harrap,1949,,316 pages (8°),,W.P.1596/16,,,English,,
485813,Monograph,Language material ; Text,Volume,,,,"Brontë, Emily",1818-1848,person,author,"Brontë, Emily, 1818-1848, author [person]",Wuthering Heights,,Ten greatest novels of the world,,England,Philadelphia ; Toronto,John C. Winston,1949,,"xxii, 260 pages, illustrations (8°)",,12607.f.1/8,,Fiction,English,,
485814,Monograph,Language material ; Text,Volume,,,,"Brontë, Emily",1818-1848,person,author,"Brontë, Emily, 1818-1848, author [person]",Wuthering Heights,,Novel library,,England,London,Hamish Hamilton,1950,,"xxiii, 362 pages (8°)",,X.989/27664. (33.),,,English,,
485815,Monograph,Language material ; Text,Volume,,,,"Brontë, Emily",1818-1848,person,author,"Brontë, Emily, 1818-1848, author [person]",Wuthering Heights,,Reward series,,England,London,Bruce Publishing,1953,,254 pages (8°),,W.P.B.110/6,,,English,,
485816,Monograph,Language material ; Text,Volume,,,,"Brontë, Emily",1818-1848,person,author,"Dobrée, Bonamy, 1891-1974, writer [person] ; Brontë, Emily, 1818-1848, author [person]",Wuthering Heights,,,,England,Amsterdam,Collins ; London & Glasgow,1953,,350 pages (8°),,12652.a.21,,,English,,
485817,Monograph,Language material ; Text,Volume,,,,"Brontë, Emily",1818-1848,person,author,"Brontë, Emily, 1818-1848, author [person]",Wuthering Heights,,Regent classics,,England,London,Thames,1953,,279 pages (8°),,W.P.13255/21,,,English,,
485818,Monograph,Language material ; Text,Volume,,,,"Brontë, Emily",1818-1848,person,author,"Brontë, Emily, 1818-1848, author [person]",Wuthering Heights,,Abbey classics,,England,London,Murray7s Abbey Classics,1955,,285 pages (8°),,W.P.D.175/10,,,English,,
485819,Monograph,Language material ; Text,Volume,,,,"Brontë, Emily",1818-1848,person,author,"Brontë, Emily, 1818-1848, author [person]",Wuthering Heights,,,,England ; Scotland,Glasgow ; London,Blackie,1955,,"ix, 269 pages (8°)",,12654.ee.15,,,English,,
