BL record ID,Type of resource,Content type,Material type,BNB number,Archival Resource Key,ISBN,Name,Dates associated with name,Type of name,Role,All names,Title,Variant titles,Series title,Number within series,Country of publication,Place of publication,Publisher,Date of creation/publication,Edition,Physical description,Dewey classification,BL shelfmark,Topics,Genre,Languages,Notes,Provenance
9460601,Monograph,Language material ; Text,Volume,GB8317910,,9780856354595,"Davies, Stevie",,person,,"Davies, Stevie [person]",Emily Brontë : the artist as a free woman,,,,England,Manchester,Carcanet,1983,,"170 pages, 23 cm",823.8,X.950/27775,"Fiction in English--Brontë, Emily--1818-1848 ; Brontë, Emily, 1818-1848",,English,,
9478148,Monograph,Language material ; Text,Volume,GBA031574,,9780952203520,"Whitehead, Peter",1937-2019,person,,"Whitehead, Peter, 1937-2019 [person]",Brontëgate,,The Milton Crookshank memoirs,volume 3 [The Milton Crookshank memoirs],England,Pytchley,Hathor,1999,,"iv, 240 pages, illustrations, portraits, 24 cm",823.914,YC.2000.a.6461,"Diana, Princess of Wales, 1961-1997--Fiction ; Undercover operations--Fiction ; Brontë, Emily, 1818-1848--Fiction",Fiction,English,,
9499175,Monograph,Language material ; Text,Volume,GBA014298,,9781903007013,"Brontë Society Weekend Conference, leeds",1998,meeting/conference,,"Duckett, R. J. (Robert John) [person] ; Brontë Society Weekend Conference, leeds, 1998 [meeting/conference] ; Brontë Society [organisation]","The Brontë novels : 150 years of literary dominance : papers from the Brontë Society Weekend Conference, Leeds, October 1998",,Brontë Society occasional publications,number 3 [Brontë Society occasional publications],England,Haworth,Brontë Society,1998,,"xi, 136 pages, illustrations, 21 cm",823.809,YC.2000.a.5627,"Brontë, Emily, 1818-1848--Criticism and interpretation--Congresses ; Brontë, Charlotte, 1816-1855--Criticism and interpretation--Congresses ; Brontë, Anne, 1820-1849--Criticism and interpretation--Congresses",Congress,English,,
9525835,Monograph,Language material ; Text,Volume,,,9788185218236,"Kanwar, Asha",,person,author,"Kanwar, Asha, author [person]",Fictional theories and the three great novels,,,,India,New Delhi,Prestige,1991,,224 pages,,YA.1992.a.3486,"Hardy, Thomas, 1840-1928 ; Eliot, George, 1819-1880 ; Brontë, Emily, 1818-1848",,English,,
9688703,Monograph,Language material ; Text,Volume,GB7204602,,9780701004989,"Brontë, Emily",1818-1848,person,,"Thompson, Denys, 1907-1988 [person] ; Brontë, Emily, 1818-1848 [person]",Poems,,Compact poets,,England,London,Chatto & Windus,1972,,"64 pages, 20 cm",821.8,,"Poetry in English, 1837-1900--Texts ; English poetry",,English,Includes index,
9697384,Monograph,Language material ; Text,Volume,GB99W1997,,9780195645910,"Brontë, Emily",1818-1848,person,,"Brontë, Emily, 1818-1848 [person]",Wuthering Heights,,,,England,Oxford,Oxford University Press,1999,,"452 pages, 22 cm",823.8,,Yorkshire (England)--Social life and customs--19th century--Fiction,,English,,
9769376,Monograph,Language material ; Text,Volume,,,9780582006546,"Brontë, Emily",1818-1848,person,,"Cookson, Linda [person] ; Brontë, Emily, 1818-1848 [person] ; Loughrey, Bryan [person]",Wuthering Heights,Critical essays on Wuthering Heights,Longman critical essays,,England,Harlow,Longman,1988,,,,93/04237,,,English,,
9918035,Serial,Language material ; Text,Volume,GBA328918,,,,,,,Brontë Society [organisation],Brontë studies,,,,England,Leeds,Maney,2002-,,"volumes, illustrations, 25 cm",823.809,2349.992100 ; Ac.9493,"Brontë Society--Periodicals ; Brontë, Anne, 1820-1849--Criticism and interpretation--Periodicals ; Brontë, Emily, 1818-1848--Criticism and interpretation--Periodicals ; Brontë family--Periodicals ; Brontë, Charlotte, 1816-1855--Criticism and interpretation--Periodicals",Periodical,English,Additional physical form: Brontë studies (Online) (ISSN: 1745-8226) ; Continues: Brontë Society transactions (ISSN: 0309-7765),
9921020,Monograph,Language material ; Text,Volume,GBA421847,,,"Brontë, Emily",1818-1848,person,,"Brontë, Emily, 1818-1848 [person]",Wuthering Heights,,Great reads,1741-749 x [Great reads],England,London,Planet Three,2003,,"252 pages, 20 cm",823.8,Nov.2004/373,Triangles (Interpersonal relations)--History--19th century--Fiction ; Yorkshire (England)--Fiction ; Foundlings--England--Yorkshire--History--19th century--Fiction ; Rejection (Psychology)--Fiction,Fiction,English,,
9989813,Monograph,Language material ; Text,Volume,,,,"Brontë, Emily",1818-1848,person,,"Bovay, Georges-Michel [person] ; Brontë, Emily, 1818-1848 [person]",Les hauteurs tourmentées (Wuthering Heights),Wuthering Heights. French,,,Switzerland,Lausanne,La Guilde du livre,1944,,401 pages,,YA.1994.a.8093,Fiction in English--1837-1900--Translations,,French,,
9996532,Monograph,Language material ; Text,Volume,,,,"Brontë, Emily",1818-1848,person,,"Leyris, Pierre [person] ; Brontë, Emily, 1818-1848 [person]",Poèmes (1836-1846),Poems. Selections. French,Poésie,171 [Poésie],France,Paris,Gallimard,1983,,148 pages,,X.958/27320,Poetry in English--1837-1900--Translations,,French,,
10047665,Monograph,Language material ; Text,Volume,GB8329596,,9780330500296,"Carrington, Norman T. (Norman Thomas)",,person,author,"Carrington, Norman T. (Norman Thomas), author [person] ; Brontë, Emily, 1818-1848 [person]",Brodie's notes on Emily Bronte's Wuthering Heights,Wuthering Heights,Pan study aids,,England,London,Pan Educational,1976,,"x, 68 pages, 20 cm",823.8,X.958/16504,"Fiction in English--Brontë, Emily--1818-1848 ; Brontë, Emily, 1818-1848",,English,"Originally published: London : Brodie, 1961",
10047771,Monograph,Language material ; Text,Volume,GB8717391,,9780330502177,"Nathan, Bill",1928-,person,author,"Nathan, Bill, 1928-, author [person] ; Brontë, Emily, 1818-1848 [person]",Brodie's notes on Emily Brontë's Wuthering Heights,Wuthering Heights,Pan study aids,,England,London,,1986,,"127 pages, 20 cm",823.8,YC.1987.a.2895,"Fiction in English--Brontë, Emily--1818-1848 ; Brontë, Emily, 1818-1848",,English,,
10052196,Monograph,Language material ; Text,Volume,GB8133980,,9780333321287,"Brontë, Emily",1818-1848,person,,"Handley, Graham, 1926- [person] ; Brontë, Emily, 1818-1848 [person]",Wuthering Heights,,Macmillan students' novels,,England,London,Macmillan,1982,,"xxviii, 307 pages, illustrations, facsimiles, 1 portrait, 18 cm",823.8,X.958/10409,Fiction in English--1837-1900--Texts,,English,,
